Hebrew:

Alef	Bet	Gimel	Dalet	He	Vav	Zayin	Het	Tet	Yod	Kaf
א‎	ב‎	ג‎	ד‎	ה‎	ו‎	ז‎	ח‎	ט‎	י‎	כ‎,ך‎
Lamed	Mem	Nun	Samekh	Ayin	Pe	Tsadi	Qof	Resh	Shin	Tav
ל‎	מ,ם‎	נ,ן‎	ס‎	ע‎	פ,ף‎	צ,ץ‎	ק‎	ר‎	ש‎	ת‎

Greek:
Letter	Name
Α α	alpha , άλφα
Β β	beta , βήτα
Γ γ	gamma , γάμμα
Δ δ	delta , δέλτα
Ε ε	epsilon , έψιλον
Ζ ζ	zeta , ζήτα
Η η	eta , ήτα
Θ θ	theta , θήτα
Ι ι	iota , ιώτα
Κ κ	kappa , κάππα
Λ λ	lambda , λάμδα
Μ μ	mu , μυ
Ν ν	nu , νυ
Ξ ξ	xi , ξι
Ο ο	omicron , όμικρον
Π π	pi , πι
Ρ ρ	rho , ρώ
Σ σ /ς	sigma , σίγμα
Τ τ	tau , ταυ
Υ υ	upsilon , ύψιλον
Φ φ	phi , φι
Χ χ	chi , χι
Ψ ψ	psi , ψι
Ω ω	omega , ωμέγα
